Year,Player,Salary,Position,Team
1988,George Bell,1900000,Outfielder,Toronto Blue Jays
1988,Jesse Barfield,1400000,Outfielder,Toronto Blue Jays
1988,Dave Stieb,950000,Pitcher,Toronto Blue Jays
1988,Jim Clancy,900000,Pitcher,Toronto Blue Jays
1988,Lloyd Moseby,882500,Outfielder,Toronto Blue Jays
1988,Tony Fernandez,875000,Shortstop,Toronto Blue Jays
1988,Ernie Whitt,750000,Catcher,Toronto Blue Jays
1988,Tom Henke,725000,Pitcher,Toronto Blue Jays
1988,Rance Mulliniks,600000,Third Baseman,Toronto Blue Jays
1988,Mike Flanagan,550000,Pitcher,Toronto Blue Jays
1988,Jimmy Key,440225,Pitcher,Toronto Blue Jays
1988,Rick Leach,325000,Outfielder,Toronto Blue Jays
1988,John Cerutti,230000,Pitcher,Toronto Blue Jays
1988,Kelly Gruber,130000,Third Baseman,Toronto Blue Jays
1988,Fred McGriff,127500,First Baseman,Toronto Blue Jays
1988,Jeff Musselman,127000,Pitcher,Toronto Blue Jays
1988,Cecil Fielder,125000,First Baseman,Toronto Blue Jays
1988,Manuel Lee,103000,Second Baseman,Toronto Blue Jays
1988,Sal Butera,100000,Catcher,Toronto Blue Jays
1988,David Wells,82000,Pitcher,Toronto Blue Jays
1988,Duane Ward,80000,Pitcher,Toronto Blue Jays
1988,Nelson Liriano,75000,Second Baseman,Toronto Blue Jays
1988,Rob Ducey,71500,Outfielder,Toronto Blue Jays
1988,Sil Campusano,62500,Outfielder,Toronto Blue Jays
1988,Tony Castillo,62500,Pitcher,Toronto Blue Jays
1988,Dale Murphy,2000000,Outfielder,Atlanta Braves
1988,Bruce Sutter,1729167,Pitcher,Atlanta Braves
1988,Ozzie Virgil,900000,Catcher,Atlanta Braves
1988,Rick Mahler,837500,Pitcher,Atlanta Braves
1988,Bruce Benedict,715000,Catcher,Atlanta Braves
1988,Ted Simmons,470000,First Baseman,Atlanta Braves
1988,Zane Smith,450000,Pitcher,Atlanta Braves
1988,Jim Acker,435000,Pitcher,Atlanta Braves
1988,Gerald Perry,425000,First Baseman,Atlanta Braves
1988,Dion James,400000,Outfielder,Atlanta Braves
1988,Albert Hall,250000,Outfielder,Atlanta Braves
1988,Charlie Puleo,222500,Pitcher,Atlanta Braves
1988,Lonnie Smith,150000,Outfielder,Atlanta Braves
1988,Andres Thomas,130000,Shortstop,Atlanta Braves
1988,Paul Runge,115000,Third Baseman,Atlanta Braves
1988,Paul Assenmacher,91000,Pitcher,Atlanta Braves
1988,Terry Blocker,70000,Outfielder,Atlanta Braves
1988,Jeff Blauser,67000,Second Baseman,Atlanta Braves
1988,Ron Gant,65000,Second Baseman,Atlanta Braves
1988,Tom Glavine,65000,Pitcher,Atlanta Braves
1988,Jim Morrison,65000,Third Baseman,Atlanta Braves
1988,Pete Smith,65000,Pitcher,Atlanta Braves
1988,Jose Alvarez,62500,Pitcher,Atlanta Braves
1988,German Jimenez,62500,Pitcher,Atlanta Braves
1988,Jerry Royster,62500,Outfielder,Atlanta Braves
1988,John Smoltz,62500,Pitcher,Atlanta Braves
1988,Paul Molitor,1775000,Third Baseman,Milwaukee Brewers
1988,Robin Yount,1200000,Outfielder,Milwaukee Brewers
1988,Teddy Higuera,1025000,Pitcher,Milwaukee Brewers
1988,Jim Gantner,937500,Second Baseman,Milwaukee Brewers
1988,Jeffrey Leonard,900000,Outfielder,Milwaukee Brewers
1988,Greg Brock,600000,First Baseman,Milwaukee Brewers
1988,Mark Clear,535000,Pitcher,Milwaukee Brewers
1988,Rob Deer,460000,Outfielder,Milwaukee Brewers
1988,Mike Young,395000,Outfielder,Milwaukee Brewers
1988,Bill Schroeder,372500,Catcher,Milwaukee Brewers
1988,Dan Plesac,290000,Pitcher,Milwaukee Brewers
1988,Juan Nieves,195000,Pitcher,Milwaukee Brewers
1988,Dale Sveum,185000,Shortstop,Milwaukee Brewers
1988,Bill Wegman,175000,Pitcher,Milwaukee Brewers
1988,B.J. Surhoff,140000,Catcher,Milwaukee Brewers
1988,Glenn Braggs,122000,Outfielder,Milwaukee Brewers
1988,Chris Bosio,112000,Pitcher,Milwaukee Brewers
1988,Paul Mirabella,105000,Pitcher,Milwaukee Brewers
1988,Chuck Crim,102500,Pitcher,Milwaukee Brewers
1988,Juan B. Castillo,90000,Second Baseman,Milwaukee Brewers
1988,Odell Jones,90000,Pitcher,Milwaukee Brewers
1988,Mike Birkbeck,75000,Pitcher,Milwaukee Brewers
1988,Jim Adduci,72500,Outfielder,Milwaukee Brewers
1988,Charlie O'Brien,70000,Catcher,Milwaukee Brewers
1988,Dave Stapleton,65000,Pitcher,Milwaukee Brewers
1988,Don August,62500,Pitcher,Milwaukee Brewers
1988,Joey Meyer,62500,First Baseman,Milwaukee Brewers
1988,Ozzie Smith,2340000,Shortstop,St. Louis Cardinals
1988,Pedro Guerrero,1720000,First Baseman,St. Louis Cardinals
1988,Willie McGee,1215000,Outfielder,St. Louis Cardinals
1988,Tony Pena Sr.,1160000,Catcher,St. Louis Cardinals
1988,Tom Brunansky,1140000,Outfielder,St. Louis Cardinals
1988,Bob Horner,950000,First Baseman,St. Louis Cardinals
1988,Danny Cox,750000,Pitcher,St. Louis Cardinals
1988,Vince Coleman,715000,Outfielder,St. Louis Cardinals
1988,Terry Pendleton,660000,Third Baseman,St. Louis Cardinals
1988,Ken Dayley,610000,Pitcher,St. Louis Cardinals
1988,Denny Walling,575000,Third Baseman,St. Louis Cardinals
1988,Jose DeLeon,430000,Pitcher,St. Louis Cardinals
1988,Jose Oquendo,275000,Outfielder,St. Louis Cardinals
1988,Steve Lake,240000,Catcher,St. Louis Cardinals
1988,Todd Worrell,215000,Pitcher,St. Louis Cardinals
1988,Tom Lawless,125000,Third Baseman,St. Louis Cardinals
1988,Greg Mathews,125000,Pitcher,St. Louis Cardinals
1988,Curt Ford,100000,Outfielder,St. Louis Cardinals
1988,Joe Magrane,100000,Pitcher,St. Louis Cardinals
1988,Mike Laga,82500,First Baseman,St. Louis Cardinals
1988,John Morris,75000,Outfielder,St. Louis Cardinals
1988,Scott Terry,75000,Pitcher,St. Louis Cardinals
1988,Tom Pagnozzi,72500,First Baseman,St. Louis Cardinals
1988,John Costello,62500,Pitcher,St. Louis Cardinals
1988,Tim Jones,62500,Shortstop,St. Louis Cardinals
1988,Larry McWilliams,62500,Pitcher,St. Louis Cardinals
1988,Dan Quisenberry,62500,Pitcher,St. Louis Cardinals
1988,Rick Sutcliffe,2070000,Pitcher,Chicago Cubs
1988,Andre Dawson,1900000,Outfielder,Chicago Cubs
1988,Jody Davis,1108333,Catcher,Chicago Cubs
1988,Goose Gossage,1100000,Pitcher,Chicago Cubs
1988,Scott Sanderson,950000,Pitcher,Chicago Cubs
1988,Ryne Sandberg,865000,Second Baseman,Chicago Cubs
1988,Jerry Mumphrey,608000,Outfielder,Chicago Cubs
1988,Mitch Webster,550000,Outfielder,Chicago Cubs
1988,Frank DiPino,465000,Pitcher,Chicago Cubs
1988,Vance Law,400000,Third Baseman,Chicago Cubs
1988,Al Nipper,397000,Pitcher,Chicago Cubs
1988,Manny Trillo,357500,First Baseman,Chicago Cubs
1988,Shawon Dunston,232500,Shortstop,Chicago Cubs
1988,Calvin Schiraldi,207500,Pitcher,Chicago Cubs
1988,Jamie Moyer,142500,Pitcher,Chicago Cubs
1988,Pat Perry,132500,Pitcher,Chicago Cubs
1988,Mike Bielecki,110000,Pitcher,Chicago Cubs
1988,Angel Salazar,100000,Shortstop,Chicago Cubs
1988,Les Lancaster,90000,Pitcher,Chicago Cubs
1988,Rafael Palmeiro,90000,Outfielder,Chicago Cubs
1988,Greg Maddux,82500,Pitcher,Chicago Cubs
1988,Drew Hall,68000,Pitcher,Chicago Cubs
1988,Darrin Jackson,63500,Outfielder,Chicago Cubs
1988,Damon Berryhill,62500,Catcher,Chicago Cubs
1988,Mark Grace,62500,First Baseman,Chicago Cubs
1988,Jeff Pico,62500,Pitcher,Chicago Cubs
1988,Gary Varsho,62500,Outfielder,Chicago Cubs
1988,Fernando Valenzuela,2050000,Pitcher,Los Angeles Dodgers
1988,Kirk Gibson,1833333,Outfielder,Los Angeles Dodgers
1988,Orel Hershiser,1100000,Pitcher,Los Angeles Dodgers
1988,John Tudor,1100000,Pitcher,Los Angeles Dodgers
1988,Jesse Orosco,1000000,Pitcher,Los Angeles Dodgers
1988,Mike Scioscia,1000000,Catcher,Los Angeles Dodgers
1988,Mike Davis,987500,Outfielder,Los Angeles Dodgers
1988,Steve Sax,838182,Second Baseman,Los Angeles Dodgers
1988,Mike Marshall,760000,Outfielder,Los Angeles Dodgers
1988,Alfredo Griffin,750000,Shortstop,Los Angeles Dodgers
1988,Jay Howell,595000,Pitcher,Los Angeles Dodgers
1988,Rick Horton,532500,Pitcher,Los Angeles Dodgers
1988,John Shelby,465000,Outfielder,Los Angeles Dodgers
1988,Alejandro Pena,400000,Pitcher,Los Angeles Dodgers
1988,Mickey Hatcher,300000,Outfielder,Los Angeles Dodgers
1988,Danny Heep,300000,Outfielder,Los Angeles Dodgers
1988,Dave Anderson,262500,Shortstop,Los Angeles Dodgers
1988,Rick Dempsey,250000,Catcher,Los Angeles Dodgers
1988,Franklin Stubbs,235000,First Baseman,Los Angeles Dodgers
1988,Tim Leary,190000,Pitcher,Los Angeles Dodgers
1988,Brian Holton,90000,Pitcher,Los Angeles Dodgers
1988,Jeff Hamilton,82500,Third Baseman,Los Angeles Dodgers
1988,Tim Belcher,78000,Pitcher,Los Angeles Dodgers
1988,Jose Gonzalez,70000,Outfielder,Los Angeles Dodgers
1988,Tracy Woodson,68000,Third Baseman,Los Angeles Dodgers
1988,Ramon J. Martinez,62500,Pitcher,Los Angeles Dodgers
1988,Mario Soto,62500,Pitcher,Los Angeles Dodgers
1988,Brett Butler,900000,Outfielder,San Francisco Giants
1988,Mike Krukow,900000,Pitcher,San Francisco Giants
1988,Don Robinson,900000,Pitcher,San Francisco Giants
1988,Atlee Hammaker,850000,Pitcher,San Francisco Giants
1988,Rick Reuschel,800000,Pitcher,San Francisco Giants
1988,Candy Maldonado,750000,Outfielder,San Francisco Giants
1988,Dave Dravecky,700000,Pitcher,San Francisco Giants
1988,Scott Garrelts,625000,Pitcher,San Francisco Giants
1988,Bob Brenly,600000,Catcher,San Francisco Giants
1988,Craig Lefferts,575000,Pitcher,San Francisco Giants
1988,Jose Uribe,535000,Shortstop,San Francisco Giants
1988,Mike Lacoss,500000,Pitcher,San Francisco Giants
1988,Chris Speier,400000,Second Baseman,San Francisco Giants
1988,Joe Price,376000,Pitcher,San Francisco Giants
1988,Phil Garner,375000,Second Baseman,San Francisco Giants
1988,Will Clark,345000,First Baseman,San Francisco Giants
1988,Joel Youngblood,320000,Outfielder,San Francisco Giants
1988,Ernest Riles,264500,Third Baseman,San Francisco Giants
1988,Robby Thompson,257500,Second Baseman,San Francisco Giants
1988,Kevin Mitchell,237500,Third Baseman,San Francisco Giants
1988,Mike Aldrete,160000,Outfielder,San Francisco Giants
1988,Kelly Downs,160000,Pitcher,San Francisco Giants
1988,Bob Melvin,145000,Catcher,San Francisco Giants
1988,Lary Sorensen,100000,Pitcher,San Francisco Giants
1988,Matt D. Williams,75000,Third Baseman,San Francisco Giants
1988,Donell Nixon,72500,Outfielder,San Francisco Giants
1988,Francisco Melendez,70000,First Baseman,San Francisco Giants
1988,Terry Mulholland,70000,Pitcher,San Francisco Giants
1988,Jeff Brantley,62500,Pitcher,San Francisco Giants
1988,Roger Samuels,62500,Pitcher,San Francisco Giants
1988,Julio Franco,975000,Second Baseman,Cleveland Indians
1988,Willie Upshaw,900000,First Baseman,Cleveland Indians
1988,Joe Carter,840000,Outfielder,Cleveland Indians
1988,Mel Hall,825000,Outfielder,Cleveland Indians
1988,Brook Jacoby,812500,Third Baseman,Cleveland Indians
1988,Bud Black,635000,Pitcher,Cleveland Indians
1988,Jeff Dedmon,350000,Pitcher,Cleveland Indians
1988,Carmen Castillo,310000,Outfielder,Cleveland Indians
1988,Ron Kittle,300000,Designated Hitter,Cleveland Indians
1988,Tom Candiotti,235000,Pitcher,Cleveland Indians
1988,Cory Snyder,185000,Outfielder,Cleveland Indians
1988,Scott Bailes,150000,Pitcher,Cleveland Indians
1988,Terry Francona,150000,First Baseman,Cleveland Indians
1988,Brad Havens,120000,Pitcher,Cleveland Indians
1988,Doug Jones,115000,Pitcher,Cleveland Indians
1988,Greg Swindell,110000,Pitcher,Cleveland Indians
1988,Andy Allanson,102500,Catcher,Cleveland Indians
1988,Ron Washington,100000,Shortstop,Cleveland Indians
1988,Paul Zuvella,100000,Shortstop,Cleveland Indians
1988,Rich Yett,90000,Pitcher,Cleveland Indians
1988,Don Gordon,80000,Pitcher,Cleveland Indians
1988,Jon Perlman,75000,Pitcher,Cleveland Indians
1988,John Farrell,72000,Pitcher,Cleveland Indians
1988,Alfonso Jimenez,62500,Second Baseman,Cleveland Indians
1988,Rod Nichols,62500,Pitcher,Cleveland Indians
1988,Ron Tingley,62500,Catcher,Cleveland Indians
1988,Steve Trout,990000,Pitcher,Seattle Mariners
1988,Alvin Davis,922500,First Baseman,Seattle Mariners
1988,Mark Langston,862000,Pitcher,Seattle Mariners
1988,Jim Presley,582500,Third Baseman,Seattle Mariners
1988,Mike Moore,481950,Pitcher,Seattle Mariners
1988,Darnell Coles,375000,Outfielder,Seattle Mariners
1988,Harold Reynolds,247500,Second Baseman,Seattle Mariners
1988,David Valle,165000,Catcher,Seattle Mariners
1988,Scott Bradley,160000,Catcher,Seattle Mariners
1988,Jerry Reed,155000,Pitcher,Seattle Mariners
1988,Mickey Brantley,152500,Outfielder,Seattle Mariners
1988,Rey Quinones,150000,Shortstop,Seattle Mariners
1988,Rod Scurry,145000,Pitcher,Seattle Mariners
1988,Henry Cotto,130000,Outfielder,Seattle Mariners
1988,Scott Bankhead,117500,Pitcher,Seattle Mariners
1988,Mike Jackson,112500,Pitcher,Seattle Mariners
1988,Bill Wilkinson,110000,Pitcher,Seattle Mariners
1988,Bill Swift,92500,Pitcher,Seattle Mariners
1988,Johnny Rabb,80000,Outfielder,Seattle Mariners
1988,Mike Campbell,72500,Pitcher,Seattle Mariners
1988,Jay Buhner,67000,Outfielder,Seattle Mariners
1988,Steve Balboni,62500,First Baseman,Seattle Mariners
1988,Mario Diaz,62500,Shortstop,Seattle Mariners
1988,Bruce Fields,62500,Outfielder,Seattle Mariners
1988,Bill McGuire,62500,Catcher,Seattle Mariners
1988,Mike Schooler,62500,Pitcher,Seattle Mariners
1988,Terry Taylor,62500,Pitcher,Seattle Mariners
1988,Gary Carter,2360714,Catcher,New York Mets
1988,Keith Hernandez,1850000,First Baseman,New York Mets
1988,Dwight Gooden,1400000,Pitcher,New York Mets
1988,Darryl Strawberry,1345000,Outfielder,New York Mets
1988,Ron Darling,1000000,Pitcher,New York Mets
1988,Kevin McReynolds,975000,Outfielder,New York Mets
1988,Mookie Wilson,900000,Outfielder,New York Mets
1988,Bob Ojeda,725000,Pitcher,New York Mets
1988,Howard Johnson,695000,Third Baseman,New York Mets
1988,Wally Backman,650000,Second Baseman,New York Mets
1988,Roger McDowell,615000,Pitcher,New York Mets
1988,Sid Fernandez,580000,Pitcher,New York Mets
1988,Tim Teufel,537500,Second Baseman,New York Mets
1988,Lee Mazzilli,350000,Outfielder,New York Mets
1988,Lenny Dykstra,305000,Outfielder,New York Mets
1988,Rick Aguilera,295000,Pitcher,New York Mets
1988,Terry Leach,190000,Pitcher,New York Mets
1988,Dave Magadan,112500,First Baseman,New York Mets
1988,Randy Myers,108000,Pitcher,New York Mets
1988,David Cone,92500,Pitcher,New York Mets
1988,Barry Lyons,90000,Catcher,New York Mets
1988,Keith Miller,70000,Second Baseman,New York Mets
1988,Kevin Elster,69000,Shortstop,New York Mets
1988,Gregg Jefferies,62500,Third Baseman,New York Mets
1988,Bob McClure,62500,Pitcher,New York Mets
1988,Mackey Sasser,62500,Catcher,New York Mets
1988,Tim Raines Sr.,1666333,Outfielder,Washington Nationals
1988,Hubie Brooks,850000,Outfielder,Washington Nationals
1988,Tim Wallach,850000,Third Baseman,Washington Nationals
1988,Dennis Martinez,735000,Pitcher,Washington Nationals
1988,Tim Burke,625000,Pitcher,Washington Nationals
1988,Neal Heaton,625000,Pitcher,Washington Nationals
1988,Bryn Smith,525000,Pitcher,Washington Nationals
1988,Andy McGaffigan,500000,Pitcher,Washington Nationals
1988,Mike Fitzgerald,335000,Catcher,Washington Nationals
1988,Tim Foley,250000,Second Baseman,Washington Nationals
1988,Andres Galarraga,240000,First Baseman,Washington Nationals
1988,Graig Nettles,200000,Third Baseman,Washington Nationals
1988,Joe Hesketh,191000,Pitcher,Washington Nationals
1988,Pascual Perez,170000,Pitcher,Washington Nationals
1988,Floyd Youmans,160000,Pitcher,Washington Nationals
1988,Tracy Jones,157500,Outfielder,Washington Nationals
1988,Dave Martinez,135000,Outfielder,Washington Nationals
1988,Wallace Johnson,100000,First Baseman,Washington Nationals
1988,Jeff Parrett,90000,Pitcher,Washington Nationals
1988,Luis Rivera,70000,Shortstop,Washington Nationals
1988,Rex Hudler,65000,Second Baseman,Washington Nationals
1988,John Dopson,62500,Pitcher,Washington Nationals
1988,Brian Holman,62500,Pitcher,Washington Nationals
1988,Otis Nixon,62500,Outfielder,Washington Nationals
1988,Nelson Santovenia,62500,Catcher,Washington Nationals
1988,Larry Walker,62500,Outfielder,Washington Nationals
1988,Eddie Murray,2142904,First Baseman,Baltimore Orioles
1988,Cal Ripken Jr.,1710000,Shortstop,Baltimore Orioles
1988,Terry Kennedy,850000,Catcher,Baltimore Orioles
1988,Tom Niedenfuer,850000,Pitcher,Baltimore Orioles
1988,Don Aase,675000,Pitcher,Baltimore Orioles
1988,Dave Schmidt,625000,Pitcher,Baltimore Orioles
1988,Larry Sheets,540000,Outfielder,Baltimore Orioles
1988,Mark Thurmond,435000,Pitcher,Baltimore Orioles
1988,Doug Sisk,410000,Pitcher,Baltimore Orioles
1988,Mike Morgan,375000,Pitcher,Baltimore Orioles
1988,Jay Tibbs,167500,Pitcher,Baltimore Orioles
1988,Rick Schu,165000,Third Baseman,Baltimore Orioles
1988,Mickey Tettleton,160000,Catcher,Baltimore Orioles
1988,Joe Orsulak,140000,Outfielder,Baltimore Orioles
1988,Mark Williamson,100000,Pitcher,Baltimore Orioles
1988,Ken Gerhart,98000,Outfielder,Baltimore Orioles
1988,Billy Ripken,80000,Second Baseman,Baltimore Orioles
1988,Jim Traber,80000,First Baseman,Baltimore Orioles
1988,Rene Gonzales,75000,Third Baseman,Baltimore Orioles
1988,Jeff Ballard,66000,Pitcher,Baltimore Orioles
1988,Pete Stanicek,63500,Outfielder,Baltimore Orioles
1988,Brady Anderson,62500,Outfielder,Baltimore Orioles
1988,Jose J. Bautista,62500,Pitcher,Baltimore Orioles
1988,Oswaldo Peraza,62500,Pitcher,Baltimore Orioles
1988,Keith Moreland,1243333,First Baseman,San Diego Padres
1988,Garry Templeton,1143502,Shortstop,San Diego Padres
1988,Tony Gwynn,1106666,Outfielder,San Diego Padres
1988,Ed Whitson,1000000,Pitcher,San Diego Padres
1988,Eric Show,887500,Pitcher,San Diego Padres
1988,Mark Davis,520000,Pitcher,San Diego Padres
1988,Dennis Rasmussen,457500,Pitcher,San Diego Padres
1988,Andy Hawkins,453000,Pitcher,San Diego Padres
1988,Carmelo Martinez,440000,Outfielder,San Diego Padres
1988,Tim Flannery,381667,Third Baseman,San Diego Padres
1988,Dickie Thon,300000,Shortstop,San Diego Padres
1988,Chris Brown,265000,Third Baseman,San Diego Padres
1988,Marvell Wynne,255000,Outfielder,San Diego Padres
1988,John Kruk,250000,First Baseman,San Diego Padres
1988,Randy Ready,210000,Third Baseman,San Diego Padres
1988,Lance McCullers,190000,Pitcher,San Diego Padres
1988,Benito Santiago,167500,Catcher,San Diego Padres
1988,Greg Booker,130000,Pitcher,San Diego Padres
1988,Jimmy Jones,95000,Pitcher,San Diego Padres
1988,Mark Grant,90000,Pitcher,San Diego Padres
1988,Stan Jefferson,90000,First Baseman,San Diego Padres
1988,Dave Leiper,75000,Pitcher,San Diego Padres
1988,Mark Parent,65000,Catcher,San Diego Padres
1988,Roberto Alomar,62500,Second Baseman,San Diego Padres
1988,Mike Schmidt,2250000,Third Baseman,Philadelphia Phillies
1988,Von Hayes,1300000,First Baseman,Philadelphia Phillies
1988,Juan Samuel,1060000,Second Baseman,Philadelphia Phillies
1988,Lance Parrish,1000000,Catcher,Philadelphia Phillies
1988,Steve Bedrosian,925000,Pitcher,Philadelphia Phillies
1988,Phil Bradley,905000,Outfielder,Philadelphia Phillies
1988,Shane Rawley,900000,Pitcher,Philadelphia Phillies
1988,Kent Tekulve,850000,Pitcher,Philadelphia Phillies
1988,David Palmer,675000,Pitcher,Philadelphia Phillies
1988,Don Carman,450000,Pitcher,Philadelphia Phillies
1988,Kevin Gross,450000,Pitcher,Philadelphia Phillies
1988,Bob Dernier,400000,Outfielder,Philadelphia Phillies
1988,Greg Gross,320000,Outfielder,Philadelphia Phillies
1988,Milt Thompson,240000,Outfielder,Philadelphia Phillies
1988,Steve Jeltz,215000,Shortstop,Philadelphia Phillies
1988,Greg A. Harris,150000,Pitcher,Philadelphia Phillies
1988,Bruce Ruffin,140000,Pitcher,Philadelphia Phillies
1988,Chris James,138000,Outfielder,Philadelphia Phillies
1988,Darren Daulton,115000,Catcher,Philadelphia Phillies
1988,Jackie Gutierrez,70000,Shortstop,Philadelphia Phillies
1988,Mike Maddux,70000,Pitcher,Philadelphia Phillies
1988,Marvin Freeman,62500,Pitcher,Philadelphia Phillies
1988,Ron Jones,62500,Outfielder,Philadelphia Phillies
1988,Ricky Jordan,62500,First Baseman,Philadelphia Phillies
1988,Al Pardo,62500,Catcher,Philadelphia Phillies
1988,Shane Turner,62500,Third Baseman,Philadelphia Phillies
1988,Andy Van Slyke,850000,Outfielder,Pittsburgh Pirates
1988,Glenn Wilson,850000,Outfielder,Pittsburgh Pirates
1988,Ken Oberkfell,725000,Third Baseman,Pittsburgh Pirates
1988,Jim Gott,500000,Pitcher,Pittsburgh Pirates
1988,Jeff D. Robinson,475000,Pitcher,Pittsburgh Pirates
1988,Gary Redus,460000,Outfielder,Pittsburgh Pirates
1988,Bob Walk,450000,Pitcher,Pittsburgh Pirates
1988,Dave Lapoint,425000,Pitcher,Pittsburgh Pirates
1988,Sid Bream,360000,First Baseman,Pittsburgh Pirates
1988,R.J. Reynolds,290000,Outfielder,Pittsburgh Pirates
1988,Brian Fisher,255000,Pitcher,Pittsburgh Pirates
1988,Junior Ortiz,250000,Catcher,Pittsburgh Pirates
1988,Bobby Bonilla,245000,Third Baseman,Pittsburgh Pirates
1988,Barry Bonds,220000,Outfielder,Pittsburgh Pirates
1988,Mike Lavalliere,215000,Catcher,Pittsburgh Pirates
1988,Doug Drabek,160000,Pitcher,Pittsburgh Pirates
1988,Mike Dunne,142500,Pitcher,Pittsburgh Pirates
1988,Rafael Belliard,130000,Shortstop,Pittsburgh Pirates
1988,John Cangelosi,125000,Outfielder,Pittsburgh Pirates
1988,Bob Kipper,125000,Pitcher,Pittsburgh Pirates
1988,John Smiley,107500,Pitcher,Pittsburgh Pirates
1988,Jose Lind,75000,Second Baseman,Pittsburgh Pirates
1988,Felix Fermin,67500,Shortstop,Pittsburgh Pirates
